"header","class","mechanism","group","NPB_F18_1_E6_S66","NPB_F15_2_B2_S76","NPB_F12_2_F9_S40","NPB_F7_9_A12_S34","NPB_F13_6_F11_S56","NPB_F1_9_A3_S9","NPB_F13_3_C11_S53","NPB_F17_12_D6_S65","NPB_F13_8_H11_S58","NPB_F9_6_F5_S8","NPB_F15_6_F2_S80","NPB_F10_11_G7_S25","NPB_F18_4_H6_S69","NPB_F12_7_C10_S45","NPB_F14_8_D1_S70","NPB_F7_2_B11_S27","NPB_F2_12_H4_S24","NPB_F6_3_G9_S16","NPB_F9_10_B6_S12","NPB_F11_2_B8_S28","NPB_F13_4_D11_S54","NPB_F18_6_B7_S71","NPB_F2_6_B4_S18","NPB_F14_4_H12_S66","NPB_F2_11_G4_S23","NPB_F1_2_B2_S2","NPB_F14_10_F1_S72","NPB_F17_3_C5_S56","NPB_F7_11_C12_S36","NPB_F16_7_C4_S48","NPB_F9_2_B5_S4","NPB_F12_6_B10_S44","NPB_F5_3_C8_S4","NPB_F13_1_A11_S51","NPB_F6_11_G10_S24","NPB_F8_2_F12_S39","NPB_F16_3_G3_S89","NPB_F9_5_E5_S7","NPB_F15_8_H2_S82","NPB_F15_12_D3_S86","NPB_F6_7_C10_S20","NPB_F11_8_H8_S34","NPB_F4_7_C7_S43","NPB_F17_7_G5_S60","NPB_F14_6_B1_S68","NPB_F8_5_A4_S42","NPB_F13_12_D12_S62","NPB_F16_12_H4_S53","NPB_F8_10_F4_S47","NPB_F1_7_G2_S7","NPB_F9_7_G5_S9","NPB_F16_4_H3_S90","NPB_F8_11_G4_S1","NPB_F7_4_D11_S29","NPB_F12_12_H10_S50","NPB_F13_7_G11_S57","NPB_F17_2_B5_S55","NPB_F15_10_B3_S84","NPB_F12_10_F10_S48","NPB_F3_10_B6_S34","NPB_F2_4_H3_S16","NPB_F13_2_B11_S52","NPB_F14_3_G12_S65","NPB_F10_6_B7_S20","NPB_F2_9_E4_S21","NPB_F1_12_D3_S12","NPB_F16_5_A4_S91","NPB_F5_1_A8_S2","NPB_F15_5_E2_S79","NPB_F8_12_H4_S2","NPB_F8_6_B4_S43","NPB_F9_12_D6_S14","NPB_F15_11_C3_S85","NPB_F5_2_B8_S3","NPB_F10_3_G6_S17","NPB_F3_8_H5_S32","NPB_F4_11_G7_S47","NPB_F8_8_D4_S45","NPB_F8_3_G12_S40","NPB_F10_7_C7_S21","NPB_F5_10_B9_S11","NPB_F13_11_C12_S61","NPB_F5_9_A9_S10","NPB_F2_1_E3_S13","NPB_F4_2_F6_S38","NPB_F9_11_C6_S13","NPB_F5_4_D8_S5","NPB_F4_6_B7_S42","NPB_F8_1_E12_S38","NPB_F6_9_E10_S22","NPB_F11_1_A8_S27","NPB_F6_2_F9_S15","NPB_F3_1_A5_S25","NPB_F6_6_B10_S19","NPB_F4_12_H7_S1","NPB_F17_1_A5_S54","NPB_F1_3_C2_S3","NPB_F10_10_F7_S24","NPB_F12_4_H9_S42","NPB_F13_9_A12_S59","NPB_F12_8_D10_S46","NPB_F3_5_E5_S29","NPB_F17_10_B6_S63","NPB_F1_8_H2_S8","NPB_F2_8_D4_S20","NPB_F15_4_D2_S78","NPB_F1_4_D2_S4","NPB_F11_10_B9_S36","NPB_F6_12_H10_S25","NPB_F15_1_A2_S75","NPB_F2_7_C4_S19","NPB_F14_2_F12_S64","NPB_F2_10_F4_S22","NPB_F8_7_C4_S44","NPB_F1_10_B3_S10","NPB_F4_1_E6_S37","NPB_F17_9_A6_S62","NPB_F4_3_G6_S39","NPB_F16_6_B4_S92","NPB_F3_2_B5_S26","NPB_F18_9_E7_S74","NPB_F14_12_H1_S74","NPB_F11_12_D9_S38","NPB_F15_3_C2_S77","NPB_F10_9_E7_S23","NPB_F11_5_E8_S31","NPB_F13_5_E11_S55","NPB_F3_7_G5_S31","NPB_F18_11_G7_S76","NPB_F6_5_A10_S18","NPB_F17_11_C6_S64","NPB_F14_9_E1_S71","NPB_F15_7_G2_S81","NPB_F3_4_D5_S28","NPB_F12_1_E9_S39","NPB_F10_8_D7_S22","NPB_F12_11_G10_S49","NPB_F16_10_F4_S51","NPB_F16_2_F3_S88","NPB_F7_10_B12_S35","NPB_F7_1_A11_S26","NPB_F11_4_D8_S30","NPB_F9_1_A5_S3","NPB_F11_6_F8_S32","NPB_F2_3_G3_S15","NPB_F14_5_A1_S67","NPB_F6_10_F10_S23","NPB_F4_5_A7_S41","NPB_F18_7_C7_S72","NPB_F1_5_E2_S5","NPB_F18_8_D7_S73","NPB_F3_11_C6_S35","NPB_F1_1_A2_S1","NPB_F10_12_H7_S26","NPB_F7_6_F11_S31","NPB_F17_4_D5_S57","NPB_F14_1_E12_S63","NPB_F5_6_F8_S7","NPB_F11_11_C9_S37","NPB_F3_6_F5_S30","NPB_F14_11_G1_S73","NPB_F4_8_D7_S44","NPB_F10_1_E6_S15","NPB_F2_2_F3_S14","NPB_F17_8_H5_S61","NPB_F16_8_D4_S49","NPB_F12_5_A10_S43","NPB_F7_7_G11_S32","NPB_F11_9_A9_S35","NPB_F5_7_G8_S8","NPB_F4_9_E7_S45","NPB_F12_3_G9_S41","NPB_F8_9_E4_S46","NPB_F4_4_H6_S40","NPB_F18_10_F7_S75","NPB_F18_3_G6_S68","NPB_F17_5_E5_S58","NPB_F9_9_A6_S11","NPB_F1_6_F2_S6","NPB_F10_5_A7_S19","NPB_F6_8_D10_S21","NPB_F8_4_H12_S41","NPB_F6_4_H9_S17","NPB_F16_9_E4_S50","NPB_F16_11_G4_S52","NPB_F3_12_D6_S36","NPB_F5_5_E8_S6","NPB_F15_9_A3_S83","NPB_F5_12_D9_S13","NPB_F12_9_E10_S47","NPB_F3_3_C5_S27","NPB_F6_1_E9_S14","NPB_F18_5_A7_S70","NPB_F14_7_C1_S69","NPB_F9_3_C5_S5","NPB_F4_10_F7_S46","NPB_F3_9_A6_S33","NPB_F11_3_C8_S29","NPB_F10_2_F6_S16","NPB_F7_3_C11_S28","NPB_F18_12_H7_S77","NPB_F2_5_A4_S17","NPB_F7_12_D12_S37","NPB_F5_8_H8_S9","NPB_F11_7_G8_S33","NPB_F13_10_B12_S60","NPB_F9_8_H5_S10","NPB_F18_2_F6_S67","NPB_F1_11_C3_S11","NPB_F7_8_H11_S33","NPB_F17_6_F5_S59","NPB_F9_4_D5_S6","NPB_F5_11_C9_S12","NPB_F16_1_E3_S87","NPB_F7_5_E11_S30","NPB_F10_4_H6_S18"
"MEG_1000|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT6","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT6",107,1280,431,120,1279,90,1035,64,1133,404,2060,812,165,846,842,377,113,83,388,736,781,222,593,2159,378,142,1222,0,256,135,225,1143,295,800,180,0,1161,481,956,693,101,641,200,84,1679,889,1037,74,456,0,238,180,661,365,784,1077,162,580,583,162,235,702,2405,771,0,92,174,357,1493,277,444,954,802,184,643,117,304,181,251,940,300,955,271,138,278,287,123,253,479,249,213,155,99,3018,126,92,2108,429,260,1295,357,73,139,266,139,1285,2307,381,320,1367,0,1580,888,168,135,162,92,79,233,0,59,1123,941,2458,531,501,1400,88,364,231,147,1536,1445,71,376,565,634,168,65,182,469,319,388,627,0,1062,223,292,198,303,174,0,173,739,814,28,1009,202,405,80,482,243,738,80,102,331,413,193,371,51,191,645,327,318,216,177,211,484,205,996,200,13,154,142,180,141,215,3493,208,507,0,159,156,951,269,192,82,118,0,151,65,68,170,161,480,866,115,133,0,83,220,195,424,158,570,385
"MEG_1003|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT9",2916,1482,1218,1068,1389,2213,1516,925,1113,1849,1532,1260,2092,2175,1244,1584,1093,1425,2452,1400,1179,5181,1095,1172,3609,4128,1225,1660,1131,3712,1593,1416,1333,754,1602,35,2622,1760,958,2236,1178,1011,1475,4035,1552,1341,1092,2371,1075,1474,1327,5639,1534,1147,1698,1476,3964,2627,3797,2368,1869,1083,1623,1344,1476,1977,4107,1250,1998,1027,1048,2121,4010,1249,1270,3412,1714,1648,1662,1630,1841,2047,924,2417,1269,1537,1130,1752,3408,975,2095,642,1640,2429,858,2066,1994,1267,1149,1421,1324,1641,2206,2960,2980,1529,1279,1355,2211,1433,1520,1459,1122,1124,3248,1753,3675,1426,4352,1968,3548,831,960,1726,1222,2938,1396,2328,4115,1515,2550,1097,1485,1637,1806,1165,1505,5367,6064,940,1381,1052,2069,1247,2091,1010,1874,1513,1593,4613,4043,1472,2303,1099,2346,2039,1182,1294,1394,2103,1701,1617,1580,2454,2452,2448,1245,1255,801,770,1149,1380,1638,2071,6215,4946,2361,926,2788,1072,1544,56,1540,4311,5650,831,860,2052,1693,1029,1411,1327,1713,990,1869,1495,2065,3992,0,1493,0,1853,1919,1342,2610,1289,377,3423,1806,1308,2281,1492,1613,7502,1394,1387
"MEG_1004|Drugs|Aminoglycosides|Aminoglycoside_O-nucleotidyltransferases|ANT9","Aminoglycosides","Aminoglycoside O-nucleotidyltransferases","ANT9",812,3010,2255,641,2418,564,1896,498,2220,2087,4728,2035,400,1777,2069,1362,807,923,2073,1800,1720,433,1197,3590,675,524,1992,0,1430,516,1361,3401,990,1447,1715,0,1988,1856,2023,1730,1078,2079,2041,216,3161,1444,1869,316,1309,313,709,1020,2044,1051,2352,2221,278,2288,2516,417,681,1915,3596,2082,0,701,278,901,2678,873,1284,2376,3043,575,1728,0,2172,928,1097,2131,1334,1835,1218,595,1157,1259,712,2091,1938,1917,1704,769,837,5386,781,349,3835,1475,1320,2074,2138,428,267,1343,354,3118,3581,1640,946,3632,584,2605,1429,1138,830,1478,739,944,700,772,184,1898,1808,4350,1638,1381,2418,378,262,984,785,2689,2149,631,2197,1837,2158,1119,114,1175,1705,1413,1599,1039,469,2098,1552,1412,557,903,1148,0,1858,1559,1684,158,1731,1103,1589,525,1068,1317,2573,449,120,479,943,949,1356,400,1203,1777,1582,1655,1140,185,290,1594,1459,2299,879,60,758,678,528,317,477,5616,590,992,795,1038,349,1992,1650,1697,880,1538,0,381,114,850,617,695,1900,1719,460,338,599,1001,435,875,1101,364,1173,1364
"MEG_1008|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH2-DPRIME",53,84,72,0,36,80,0,46,24,120,78,0,0,68,27,148,109,219,68,46,28,26,52,0,57,299,25,0,40,46,147,94,74,0,88,0,28,111,57,83,49,27,82,71,79,51,38,334,24,0,52,46,47,37,60,0,51,86,114,36,183,22,0,133,62,87,0,33,228,30,132,103,92,67,50,74,57,63,42,59,59,33,37,150,89,72,41,30,81,32,70,52,113,114,44,0,92,25,43,0,42,45,113,117,0,113,92,99,94,37,0,0,37,99,111,58,0,57,0,100,72,0,0,112,0,61,89,47,0,50,47,0,33,60,28,0,49,151,255,25,64,59,81,106,69,0,102,258,0,199,63,0,281,41,96,0,0,52,0,44,50,65,51,205,66,0,85,67,22,0,44,87,81,0,301,127,0,29,212,40,90,0,109,97,39,0,43,38,72,47,47,43,0,0,111,57,194,141,0,79,0,59,28,0,60,51,0,30,21,51,63,90,47,91,128,21
"MEG_1009|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH2-DPRIME",0,0,0,0,0,54,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66,0,0,0,78,0,0,0,0,0,39,34,0,0,0,30,0,0,0,0,0,0,0,21,0,0,0,0,0,22,0,0,0,47,42,20,0,0,0,33,10,0,0,0,0,30,0,0,0,0,65,0,0,0,0,0,0,0,0,0,0,0,38,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,0,0,51,0,0,0,0,0,0,0,0,0,0,0,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,0,0,90,0,0,0,0,0,0,0,0,41,0,0,0,0,0,0,0,18,0,0,0,17,0,0,0,0,0,0,0,65,0,0,0,0
"MEG_1010|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH2-DPRIME",0,30,70,0,63,179,27,0,0,53,71,109,0,100,48,70,0,19,21,41,0,0,39,0,26,41,38,0,29,0,26,77,32,33,196,0,0,24,38,22,24,30,26,0,56,94,45,0,27,39,51,0,43,68,38,29,80,0,40,36,0,40,14,62,32,60,0,102,0,12,105,57,19,77,30,63,29,61,97,30,179,25,62,151,30,52,21,26,323,75,79,47,144,106,30,216,41,13,17,30,0,0,49,65,64,0,23,30,64,19,39,37,17,141,23,76,0,40,0,95,0,0,99,71,47,79,0,0,0,18,0,22,15,37,59,32,0,44,0,46,77,25,82,37,120,0,30,93,0,52,43,83,336,50,37,0,54,71,24,39,28,59,60,51,0,0,18,24,0,47,10,61,94,33,370,99,0,30,55,60,19,0,25,0,0,0,35,26,35,25,59,49,0,0,44,0,45,28,0,49,0,16,46,42,74,25,0,51,0,26,0,16,62,292,89,22
"MEG_1011|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH2-DPRIME",1399,229,708,740,296,2262,375,1008,214,809,344,362,1588,590,636,635,859,674,885,883,281,2354,1054,443,2201,2022,513,515,499,1906,986,790,598,161,1138,13,660,990,169,225,627,426,679,2217,661,1081,311,1650,568,1637,642,3017,935,610,483,200,2404,287,786,1168,3467,157,546,722,748,1418,2619,425,261,791,630,546,339,974,611,2014,862,637,350,692,710,233,404,3321,736,1134,631,902,1392,452,760,534,991,1242,506,831,978,400,463,365,467,934,1346,2204,2761,250,955,562,623,262,1180,602,1843,422,2271,548,2709,871,3023,1165,987,308,346,292,505,1292,306,1233,2694,1095,1670,239,256,845,689,457,692,3255,2833,382,456,532,828,784,1304,1016,1012,398,978,2773,2251,736,3059,577,740,1043,633,595,580,1202,968,927,449,1970,1539,1728,807,525,187,197,520,784,651,768,3755,4249,1263,435,1638,344,771,45,907,3369,3143,1097,551,312,1035,645,715,525,1719,441,802,546,1182,1196,0,1025,0,666,1009,713,338,191,178,1476,1685,591,1424,494,882,3846,500,303
"MEG_1013|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH2-DPRIME",370,101,182,175,76,568,112,246,55,251,115,98,301,145,180,233,326,249,286,217,61,558,265,110,442,661,122,107,173,418,292,234,196,48,298,0,129,213,140,114,132,105,147,516,198,200,88,491,141,421,194,602,201,172,104,78,521,97,214,278,767,63,149,173,193,329,464,140,186,160,225,173,189,210,121,429,272,185,119,172,208,58,117,853,243,290,195,245,446,99,224,162,315,331,136,176,239,56,94,65,101,225,318,584,579,91,242,162,243,77,250,183,363,137,537,195,521,163,608,302,408,44,111,121,141,310,96,257,524,215,445,77,67,169,160,169,161,879,862,115,135,115,253,259,303,295,263,194,156,693,643,148,747,176,205,367,163,191,178,259,259,242,121,486,341,434,156,155,58,99,169,197,160,154,987,1005,390,123,373,98,176,0,201,582,625,262,151,143,235,137,236,165,338,96,210,175,298,344,0,199,0,179,220,172,106,68,46,591,397,205,267,168,182,913,155,87
"MEG_1014|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH2-DPRIME",596,188,237,120,447,169,185,83,142,285,497,467,169,332,105,260,47,177,285,191,158,325,432,140,376,559,123,535,225,295,310,538,278,134,234,0,515,334,210,357,263,173,245,250,316,539,240,302,323,122,238,390,504,106,303,148,327,1080,286,267,123,137,166,352,277,290,515,400,449,138,211,464,372,242,364,116,252,194,219,323,194,187,238,212,297,166,202,270,577,176,351,167,401,285,174,198,142,267,157,171,233,77,103,313,223,271,313,85,524,227,189,137,80,216,237,174,120,170,244,141,130,160,339,213,214,189,199,355,718,172,648,146,506,135,294,338,364,562,614,168,172,149,193,291,166,129,311,184,123,258,600,67,542,309,148,229,120,256,225,68,170,340,470,173,211,70,260,170,87,50,212,426,291,282,361,543,373,235,190,382,140,14,297,1004,424,20,239,391,262,301,198,256,237,225,324,147,82,117,0,122,0,84,105,194,143,156,60,372,62,177,304,199,558,338,180,270
"MEG_1016|Drugs|Aminoglycosides|Aminoglycoside_O-phosphotransferases|APH2-DPRIME","Aminoglycosides","Aminoglycoside O-phosphotransferases","APH2-DPRIME",3833,1187,1773,1878,1094,2035,1310,6890,1326,2118,2139,1700,3484,2535,1296,2222,1196,1669,2295,2219,1264,11696,1631,1690,3986,4318,1066,1372,1995,13319,2551,2582,2556,576,2149,24,2256,2675,897,1978,1464,1495,1840,4883,2064,2559,1631,8279,2448,2335,1895,4628,3196,1835,2524,1245,4888,1516,2357,2562,3172,976,1396,1779,1946,2191,4447,1822,1298,2699,1796,2709,1507,3705,2081,2605,2373,2336,1683,2199,4336,1533,3371,4365,1951,2486,1732,2141,3236,1458,2013,1023,1709,3514,1394,2490,3439,1499,1316,1827,1737,2013,6498,3526,1828,1081,2663,2136,2089,1341,2270,1855,2402,2217,2763,1490,6335,1850,5718,1647,8341,1201,1243,1822,2408,2069,1187,2490,3839,2410,10746,1979,1227,1544,1789,1707,2097,3355,6496,1286,1451,1226,2654,2109,2072,1352,1714,1540,13352,5430,9650,1892,3587,1682,2627,9856,1694,1567,1695,2336,1477,1965,1554,2497,7226,2222,1966,1648,882,1041,1993,2266,2338,2281,7154,10845,1775,2328,4077,2180,1945,121,2124,1712,7076,2942,1736,1701,2833,2016,1733,1522,13020,987,1978,1912,2720,1681,0,2099,0,1240,1970,3330,1877,867,723,3591,1985,1602,2082,1553,3840,6693,2254,1392
