"","NPB_F18_1_E6_S66","NPB_F15_2_B2_S76","NPB_F12_2_F9_S40","NPB_F7_9_A12_S34","NPB_F13_6_F11_S56","NPB_F1_9_A3_S9","NPB_F13_3_C11_S53","NPB_F17_12_D6_S65","NPB_F13_8_H11_S58","NPB_F9_6_F5_S8","NPB_F15_6_F2_S80","NPB_F10_11_G7_S25","NPB_F18_4_H6_S69","NPB_F12_7_C10_S45","NPB_F14_8_D1_S70","NPB_F7_2_B11_S27","NPB_F2_12_H4_S24","NPB_F6_3_G9_S16","NPB_F9_10_B6_S12","NPB_F11_2_B8_S28","NPB_F13_4_D11_S54","NPB_F18_6_B7_S71","NPB_F2_6_B4_S18","NPB_F14_4_H12_S66","NPB_F2_11_G4_S23","NPB_F1_2_B2_S2","NPB_F14_10_F1_S72","NPB_F17_3_C5_S56","NPB_F7_11_C12_S36","NPB_F16_7_C4_S48","NPB_F9_2_B5_S4","NPB_F12_6_B10_S44","NPB_F5_3_C8_S4","NPB_F13_1_A11_S51","NPB_F6_11_G10_S24","NPB_F8_2_F12_S39","NPB_F16_3_G3_S89","NPB_F9_5_E5_S7","NPB_F15_8_H2_S82","NPB_F15_12_D3_S86","NPB_F6_7_C10_S20","NPB_F11_8_H8_S34","NPB_F4_7_C7_S43","NPB_F17_7_G5_S60","NPB_F14_6_B1_S68","NPB_F8_5_A4_S42","NPB_F13_12_D12_S62","NPB_F16_12_H4_S53","NPB_F8_10_F4_S47","NPB_F1_7_G2_S7","NPB_F9_7_G5_S9","NPB_F16_4_H3_S90","NPB_F8_11_G4_S1","NPB_F7_4_D11_S29","NPB_F12_12_H10_S50","NPB_F13_7_G11_S57","NPB_F17_2_B5_S55","NPB_F15_10_B3_S84","NPB_F12_10_F10_S48","NPB_F3_10_B6_S34","NPB_F2_4_H3_S16","NPB_F13_2_B11_S52","NPB_F14_3_G12_S65","NPB_F10_6_B7_S20","NPB_F2_9_E4_S21","NPB_F1_12_D3_S12","NPB_F16_5_A4_S91","NPB_F5_1_A8_S2","NPB_F15_5_E2_S79","NPB_F8_12_H4_S2","NPB_F8_6_B4_S43","NPB_F9_12_D6_S14","NPB_F15_11_C3_S85","NPB_F5_2_B8_S3","NPB_F10_3_G6_S17","NPB_F3_8_H5_S32","NPB_F4_11_G7_S47","NPB_F8_8_D4_S45","NPB_F8_3_G12_S40","NPB_F10_7_C7_S21","NPB_F5_10_B9_S11","NPB_F13_11_C12_S61","NPB_F5_9_A9_S10","NPB_F2_1_E3_S13","NPB_F4_2_F6_S38","NPB_F9_11_C6_S13","NPB_F5_4_D8_S5","NPB_F4_6_B7_S42","NPB_F8_1_E12_S38","NPB_F6_9_E10_S22","NPB_F11_1_A8_S27","NPB_F6_2_F9_S15","NPB_F3_1_A5_S25","NPB_F6_6_B10_S19","NPB_F4_12_H7_S1","NPB_F17_1_A5_S54","NPB_F1_3_C2_S3","NPB_F10_10_F7_S24","NPB_F12_4_H9_S42","NPB_F13_9_A12_S59","NPB_F12_8_D10_S46","NPB_F3_5_E5_S29","NPB_F17_10_B6_S63","NPB_F1_8_H2_S8","NPB_F2_8_D4_S20","NPB_F15_4_D2_S78","NPB_F1_4_D2_S4","NPB_F11_10_B9_S36","NPB_F6_12_H10_S25","NPB_F15_1_A2_S75","NPB_F2_7_C4_S19","NPB_F14_2_F12_S64","NPB_F2_10_F4_S22","NPB_F8_7_C4_S44","NPB_F1_10_B3_S10","NPB_F4_1_E6_S37","NPB_F17_9_A6_S62","NPB_F4_3_G6_S39","NPB_F16_6_B4_S92","NPB_F3_2_B5_S26","NPB_F18_9_E7_S74","NPB_F14_12_H1_S74","NPB_F11_12_D9_S38","NPB_F15_3_C2_S77","NPB_F10_9_E7_S23","NPB_F11_5_E8_S31","NPB_F13_5_E11_S55","NPB_F3_7_G5_S31","NPB_F18_11_G7_S76","NPB_F6_5_A10_S18","NPB_F17_11_C6_S64","NPB_F14_9_E1_S71","NPB_F15_7_G2_S81","NPB_F3_4_D5_S28","NPB_F12_1_E9_S39","NPB_F10_8_D7_S22","NPB_F12_11_G10_S49","NPB_F16_10_F4_S51","NPB_F16_2_F3_S88","NPB_F7_10_B12_S35","NPB_F7_1_A11_S26","NPB_F11_4_D8_S30","NPB_F9_1_A5_S3","NPB_F11_6_F8_S32","NPB_F2_3_G3_S15","NPB_F14_5_A1_S67","NPB_F6_10_F10_S23","NPB_F4_5_A7_S41","NPB_F18_7_C7_S72","NPB_F1_5_E2_S5","NPB_F18_8_D7_S73","NPB_F3_11_C6_S35","NPB_F1_1_A2_S1","NPB_F10_12_H7_S26","NPB_F7_6_F11_S31","NPB_F17_4_D5_S57","NPB_F14_1_E12_S63","NPB_F5_6_F8_S7","NPB_F11_11_C9_S37","NPB_F3_6_F5_S30","NPB_F14_11_G1_S73","NPB_F4_8_D7_S44","NPB_F10_1_E6_S15","NPB_F2_2_F3_S14","NPB_F17_8_H5_S61","NPB_F16_8_D4_S49","NPB_F12_5_A10_S43","NPB_F7_7_G11_S32","NPB_F11_9_A9_S35","NPB_F5_7_G8_S8","NPB_F4_9_E7_S45","NPB_F12_3_G9_S41","NPB_F8_9_E4_S46","NPB_F4_4_H6_S40","NPB_F18_10_F7_S75","NPB_F18_3_G6_S68","NPB_F17_5_E5_S58","NPB_F9_9_A6_S11","NPB_F1_6_F2_S6","NPB_F10_5_A7_S19","NPB_F6_8_D10_S21","NPB_F8_4_H12_S41","NPB_F6_4_H9_S17","NPB_F16_9_E4_S50","NPB_F16_11_G4_S52","NPB_F3_12_D6_S36","NPB_F5_5_E8_S6","NPB_F15_9_A3_S83","NPB_F5_12_D9_S13","NPB_F12_9_E10_S47","NPB_F3_3_C5_S27","NPB_F6_1_E9_S14","NPB_F18_5_A7_S70","NPB_F14_7_C1_S69","NPB_F9_3_C5_S5","NPB_F4_10_F7_S46","NPB_F3_9_A6_S33","NPB_F11_3_C8_S29","NPB_F10_2_F6_S16","NPB_F7_3_C11_S28","NPB_F18_12_H7_S77","NPB_F2_5_A4_S17","NPB_F7_12_D12_S37","NPB_F5_8_H8_S9","NPB_F11_7_G8_S33","NPB_F13_10_B12_S60","NPB_F9_8_H5_S10","NPB_F18_2_F6_S67","NPB_F1_11_C3_S11","NPB_F7_8_H11_S33","NPB_F17_6_F5_S59","NPB_F9_4_D5_S6","NPB_F5_11_C9_S12","NPB_F16_1_E3_S87","NPB_F7_5_E11_S30","NPB_F10_4_H6_S18"
"Aminoglycoside O-nucleotidyltransferases",248.227165282744,1168.76954599375,296.49709346104,609.566601142001,348.579500863287,437.75004762812,505.846585594013,484.27975617581,371.121453900709,795.198912961425,410.991271473842,341.079740427411,185.469675148024,270.222940661413,734.083982390789,284.327277514481,369.781312127237,221.696267897661,1046.35761589404,210.351264940025,377.947766260807,429.304184796066,645.945491251682,591.708657810353,1297.98034344962,648.139780087363,700.612780857893,132.071374280647,263.489867339464,559.862085364404,391.72558261325,1082.22441268277,198.619562255926,311.441493456505,250,295.454545454546,320.860309448041,781.995823389021,857.483364782997,528.25236468083,206.397479114759,320.984387404075,251.37645763334,551.151315789474,312.023070097604,330.749115520689,340.299073693529,213.986117812999,484.924794119649,1112.31033943376,319.52832901927,464.18941953079,271.71413887311,278.799719836325,339.751438716787,932.581275537396,267.118863049096,462.850458473265,367.817140771494,410.983245896091,468.406422437041,315.750225676047,567.855150813061,388.77740616871,291.723407474656,562.585034013605,546.684885158436,234.74886829058,352.981637657755,158.110492737885,523.844841652451,414.087368777514,879.061718900212,138.24516186371,249.789274814707,391.524942160166,284.559076134352,722.023505365355,739.164852562834,320.112984479194,142.762654041635,393.120081238893,158.143110899016,405.522200963251,258.806564581474,261.495105309997,155.651044886855,283.974937754795,1094.92319349728,190.375068155078,319.672907523759,285.803167420814,382.199229266748,428.492950009156,194.3315266486,216.259259259259,1541.94539866209,215.643338880617,217.58553816318,460.521550162984,272.880089652596,495.652173913043,671.400531116499,845.641646489104,1194.00726392252,375.913877523643,1311.3644790508,220.877146475803,275.526742301459,454.785552207715,681.598317560463,302.58478849318,390.610993158764,419.665944510448,1324.07901761879,844.909609895338,254.719161722783,216.807203087037,402.228750239479,442.828047716031,673.804827650982,249.554713559377,320.07514179401,1632.64697105342,374.575483501948,357.670322879654,726.648900732845,460.849738627516,647.053547403355,252.742749054224,459.456933214937,1714.64019851117,707.678764897075,654.530360531309,455.934476482422,240.11105386685,284.932800177719,194.541562611488,646.268571753857,172.757369325778,367.372303744688,217.913543897216,296.660799061183,196.712069276565,377.533564874812,316.764980820681,293.336364226797,187.366478927947,385.327535418712,494.52990503693,413.670643629544,360.18779342723,795.697639677323,267.443995593096,522.124585041984,349.491936235667,832.990699951053,204.884414615958,197.058622028363,666.5144318597,397.096918267084,261.525850128615,265.768805160454,928.585879020838,477.410947002606,604.613978985838,226.149486577897,315.056898335371,228.267199068297,153.147410358566,327.514231499051,503.0082243197,227.235851959605,301.467671558905,270.157046871205,1756.21576064054,415.903385575683,197.523248109306,130.043126032808,311.138748046813,231.747638326586,157.943925233645,258.960904589461,265.533445495156,501.871069788974,375.797193877551,157.931946024037,603.042654941105,191.11326179158,532.497253753204,574.910596649727,248.923503201408,185.400221801814,352.441441805898,518.589246285135,200.647164053457,844.158339738663,608.529137770417,0,743.250688705234,161.266568483063,239.152851590386,219.349086045475,149.744814855033,360.958392723817,264.904849212872,176.273045027757,305.614385614386,417.617706635048,230.489880839796,292.941766680817,250.99093997735,191.785696131754,846.747383541966,249.11448891368,332.041233600273
"Aminoglycoside O-phosphotransferases",383.447481665556,506.955677774183,182.916177223578,568.66048862679,132.129963898917,403.076776528863,204.817586529467,2995.18768046198,145.279255319149,527.666641503737,180.213487518764,191.791526517854,353.816610657705,176.354370130891,371.063325431764,239.698525539758,298.752936923911,262.811986542524,1062.23467481746,155.011479947643,170.551758475535,1216.95143089603,525.656123822342,238.112688960147,1420.77978183389,739.719837324898,263.568718996207,167.034637518549,244.282575079352,2202.59184401379,327.011558747615,671.67734516182,237.005418823601,113.30831408776,244.715282694447,204.545454545455,247.750466366729,1666.31861575179,313.735226934154,293.022334472342,222.446138062436,189.052281404756,165.457266284553,869.462719298246,149.445430346051,271.558221812029,164.490531440675,895.920715637875,547.879942829919,1272.48553104959,396.414533601764,523.352031487278,265.871405772404,214.435801968518,236.194441043223,343.666725883816,542.603359173126,210.293951171654,170.175878823825,416.017938737519,544.413558478198,127.359786490836,190.286180117561,222.073578595318,320.522519796237,548.503401360544,974.363979439131,209.563842782209,142.293199354028,216.668929007737,473.33679448194,290.484253301727,249.134781772736,240.607016686293,214.823426827496,381.134066647725,202.716630110198,758.405723045478,536.018207005739,220.523572406162,232.594165564297,164.477024625539,254.99085341605,521.772118493105,222.618965872416,260.338178582023,174.601211821442,189.225423404197,789.625955775987,196.8318650099,210.179016828213,217.307692307692,349.786200707385,252.558546460762,171.484492622704,296.888888888889,918.278792261797,138.565297363581,148.04682088932,196.160811300254,166.853442908729,523.573992820104,2110.4953238656,831.988162496637,1256.80992736077,127.573948621638,782.443455691509,199.375570675385,235.643690215146,162.147081798906,778.128286014721,153.309272331617,399.386647794291,465.930533230834,1361.31873998932,522.888254572365,747.052931658834,211.733600114335,595.631904974775,353.738725632819,2132.05597820982,115.418245409502,160.43495538456,577.340097483338,271.440317448969,217.209949019002,248.434377081945,472.917361806251,628.666248094,341.866330390921,1483.10510819274,768.265784394817,358.410075839653,663.306451612903,276.702749305489,179.317648405747,189.964456292347,242.383160899037,1225.82114191382,131.788374610046,187.55512789672,144.004282655246,301.648263722196,154.180948944615,439.583225338241,157.753924507623,358.641293758524,126.86929500874,2511.22177023425,491.336702393514,1113.28358804517,368.888888888889,834.060352554526,172.083486350839,306.385471587581,2519.99627109164,537.053352912384,168.686303753418,128.959327685035,693.459992692729,239.883876730683,191.084602990644,149.793527840004,948.411895609954,1798.78366637706,611.314146490026,209.116670221518,250.023511708831,113.592879128192,167.755644090305,263.461943917352,434.288237566926,206.394942232915,219.662527080218,534.789120051809,3601.24315212811,515.231698215618,284.62083304773,166.03522631091,212.538665136006,226.214574898785,170.093457943925,301.086394205898,307.884202587457,857.528644728213,480.442176870748,177.204684474226,171.935680585422,254.106060174774,740.571219333577,725.861095426313,362.526678398922,1131.77637158327,133.298272583842,500.447574148117,148.453120067347,853.47809377402,344.426042852707,0,798.347107438017,835.787923416789,210.716268739589,196.552236587903,268.514496688023,186.112807982081,92.0844660807991,181.276129120691,459.74025974026,362.976137542612,201.664459996217,393.624821518157,205.76160815402,291.897524526,969.833777960189,189.067075721657,196.541148406884
"Multi-biocide resistance regulator",67.5798533244439,13.3721557209102,0.0903587241348152,0.655246653561734,0,0,0,19.0888675008021,0,3.01955159658791,0,0,77.3243718995039,0,2.37047070775483,0,0.421712151334418,0,8.91492613346918,0,0,37.886023559376,26.8337819650067,0,22.7886380818663,0,0,57.4758406022657,0,28.1773867554393,0.187034751056746,4.10711352061771,0,0,0,0,41.0677054756941,20.2118138424821,1.98629456748436,0,0,0,0,0,0,0,0,44.1705950038974,1.97372898659225,4.06694822462068,2.49257022337264,38.6772863916695,0,0,1.0101628504959,0,46.8669250645995,1.16976717859703,0,0.846166864105602,0,0,0,0,0.100872547536188,2.31292517006803,26.8722753594899,0,0,0,20.7668916413261,0.507958008804606,0,0,0,0,0,18.2933060807358,7.6192360973679,0,0,0,0,0,0.446336606468447,0,0,0,19.6321554040091,0,0,0,0,0,0,37.3333333333333,18.3511119146628,0,0,0,0,27.8420422816115,28.749567024593,23.4059725585149,17.1004842615012,0,19.8368557656656,0,0,0,3.25972660357518,0,4.01037980655815,0.489202599762387,17.4853176721837,13.2149275821969,47.5383311503197,0,31.7708665942908,2.96770439336631,0,0,0,4.87416691534865,0.428985092768026,0,3.13124583610926,0,33.635303614674,0,35.2385848483432,6.06561896884478,20.5173347778982,25.4981024667932,0,0,0.472064867266467,61.9158044951837,30.2840553310184,0,0,0,0,0,0,0,0,0,34.7173516622247,0,33.7576313794342,0,1.43412010755901,0,0.273384104667057,29.1787079332525,25.2569750367107,0,0,24.5706978443551,0,0,0,20.6352417560186,18.0712423979149,0,0,0,0,0,0.759013282732448,1.65590329524756,0,0,64.0127904152837,22.1238938053097,29.784924350363,0,81.2442061988634,0,0,0,0,59.0590009862505,31.9046333089001,25.8822278911565,0,0,0,13.0904430611498,20.703933747412,0,46.1217300541457,0,0,0,12.3943120676403,0,0,15.0964187327824,0,23.4393590862219,0,0,0,0,0,35.7642357642358,0,0,54.9917030062131,0,0,42.3147958136671,0,0
"Multi-metal resistance protein",375.265167585914,77.9682950501456,0,33.8856126556211,0,0,3.74181478016838,136.830285530959,0,165.093983543444,0,0,431.845095215234,0,15.2387402641382,0,163.925537682993,0,60.5365936491764,0,0,205.879231667197,133.832436069987,0.503893724232707,429.204017712496,14.1085504845107,13.3498686898162,279.669912048934,0,148.614909047676,5.3117869300116,43.2889765073107,0,0,0,0,232.607264347635,104.042362768496,36.1505611282153,0.445699004605556,1.13586398944746,0,0,0,0,0,0,250.213429345607,20.3498264479684,52.2446425778195,12.702521330649,208.014380016735,0,0,1.53054977347863,37.573281222242,381.201550387597,0,0,0.25385005923168,0,0,0,0,0,18.843537414966,162.339774871495,0,0,0.271480928464775,110.138693169176,0.711141212326448,8.60411459334743,0,0,0,0,82.6775677056719,25.4304373639422,2.03837977927259,0,9.64711855800965,0,0,0,0,0,0,95.1987325204932,0,0,0,5.33178482816872,0,0,222.555555555556,387.181341529561,0,0,0.86925027164071,0,163.222975668129,119.385752222607,127.253161151466,105.175544794189,0,414.441972562106,0,0,0,16.6140904311251,0.291916564938167,64.7794291106393,17.4016353344049,84.8905499199146,89.9672269795961,231.41228137761,0,183.728207420653,1.68751818446319,5.25969756738987,0,0,47.8464140057694,0.285990061845351,0,23.2511658894071,0,168.445600502287,0,182.502219937374,112.076095947064,121.478873239437,131.048387096774,5.9871635214101,0,0,316.714234748484,155.405020777594,0,0,0,0,0,0,0,0,0,162.575396268761,38.7904703726329,196.839711104904,5.57120500782473,23.4837167612788,0,4.53036516305409,242.565488953109,108.272148800783,0,0,149.525027402265,1.83117463153193,0,0,104.895812259761,113.205907906169,0,0,0,0,12.5896414342629,0.126502213788741,12.1984876083237,0,0,332.409131385089,124.525916561315,193.839473505665,0,410.019749304744,0,0,0,0,330.451934791437,197.407507426411,167.357568027211,0,0.449337227589306,0,102.61808861223,170.619235836627,0,245.841215995825,0,32.0463090051919,0,133.455034588778,0,0,75.1515151515152,0,388.871261997303,0,0,0,0,0,189.89010989011,0.494046736821303,1.47531681482883,285.300814263111,0,0,210.137492304535,0,0
"Arsenic resistance protein",105.885205163949,41.5183867141163,0,17.2236263221941,0,0,17.6333021515435,56.6249598973372,0,3.246017966332,0,0,124.691950712114,0,7.70402980020318,0,8.67522139887945,0,29.4617082696553,0,0,65.1950900279458,71.164199192463,12.7347686669721,98.2827519170537,0,13.9334695068573,85.6346592348619,0,47.4973249316372,10.7357947106572,41.8104156398883,0,0,0,0,76.5938768791836,56.0113365155131,22.5444433409475,0,5.53275685182471,0,0.847050851286105,0,0,0,0,76.9088007126684,28.585040495474,48.4905365243235,25.2612405330266,61.4869681098336,0,0,0,6.0401492272162,85.4651162790698,0,0,5.16161787104417,0,0,0,0,0,16.1904761904762,63.3092588977812,0,0,0,54.1422532077431,0,3.02826379542396,0,0,0,0,42.1052631578947,29.6853354442905,5.70746338196325,0,0,0,0,0,1.21625630376743,0,7.79775096445867,59.6541985258662,0,0,1.58371040723982,0,0,0,65,64.364491050443,0,0,1.55740673668961,0,80.9732748304747,57.960974483316,68.0656443368308,101.846246973366,0,55.2465702632555,0,0,0,47.4237644584648,0,28.7331917905166,20.5465091900203,84.6235985050721,55.0798181625965,73.4648277987518,0,62.3283734593524,23.8580157113762,1.59669390438621,0,0,32.5276037003879,0,0,2.86475682878081,0,49.7802493497175,0,58.2324624947423,38.0479735318445,41.5763813651138,74.1223908918406,9.33997509339975,0,1.91602799066978,92.2582946842669,49.866226447316,0,0,0,0,0,13.0112487688559,0,0,0,45.7287137045869,0,63.405291089741,0,25.2763668957275,0,0,42.2298872005221,56.1918746940773,0,0,72.6160029229083,9.37918713711478,0,0,77.6856160226583,56.0382276281494,0,2.62043328559676,0,0,48.7118193891102,7.9696394686907,23.6242203455318,0,0,96.0293046223589,54.4669195111673,102.720673044304,0,122.475917939624,0,0,0,0,100.945640192609,65.6224682689711,96.9919217687075,0,0,0,66.9168802636397,67.7583286278939,0,76.5216256768217,0,20.2900280479799,0,80.3228285933897,0,0,68.7603305785124,0,64.5276433727294,0,0,0,0,0,65.0549450549451,0,7.11178362020049,99.0236560799599,0,0,62.8770777754976,0,0
"Arsenic resistance regulator",7.48530213952361,0.970559689420899,0.451793620674076,0.936066647945334,0,0,0,0,0,0,0,0,10.1776284205473,0,0,0,1.44587023314658,0,1.44336899303787,0,0,3.36057165092504,4.12180349932705,0,7.12819958958851,0.552292011849174,0.875401225561716,5.75482283108328,0,3.86398763523957,0,0,0,0,0,0,6.17250082300011,2.68496420047733,0.794517826993743,0,0.622893155503444,0,0,0,0,0,0,1.96726179429123,0.408357721363915,0.938526513374003,0,4.58672947593517,0,0,0.183665972817436,0,4.61886304909561,0,0,0,0,0,0,0,0,0,1.56158500878392,0,0,0,1.78001928354224,0,0.144203037877331,0,0,0,0,1.02197240674502,1.38531565406689,0,0,0,0,0,0,0,0,0.465129004897535,1.65323413928498,0,0,0,0.263949743968748,0,0,4.7037037037037,3.52558307720123,0,0,0,0,2.87195851615477,1.50098141092253,2.62308313155771,1.21065375302663,0,3.05895439377086,0,0,0,0,0,0,0,2.13561131873999,2.96014377841209,6.08675552816088,0,3.32077399578517,0,0,0,0,0.298418382572366,0,0,0.399733510992672,0,1.65934164499058,0,3.36495770435108,1.7921146953405,2.84398699891658,2.25332068311195,0,0,0,3.42490189083125,3.87089429043092,0,0,0,0,0,0,0,0,0,5.40047692523496,0,4.2695822193847,0,0,0,0,3.3560175258693,2.54527655408713,0,0,3.47095359883084,0,0,0,3.03459437588509,1.47697654213727,0.228414801279123,0,0,0,5.94953519256308,0.506008855154965,1.21432908318154,0,0,5.56544968833482,1.5802781289507,2.91742994775765,0,11.3356978759421,0,0,0,0,8.06404826826014,3.24061571698623,2.86989795918367,0,0,0,0,2.35271974402409,0,5.21886620131776,0,0.537088977740646,0,1.15295926210607,0,0,0.991735537190083,0,3.96605060680574,0,0,0,0,0,1.03896103896104,0,0,5.63423764133832,0,0,4.3094602914016,0,0
"Multi-drug RND efflux regulator",41.0024849990909,8.30367734282325,0,8.424599831508,0,0,0,13.4744947064485,0,5.13323771419944,0,0,47.3355736917907,0,0,0,0,0,6.87722873153337,0,0,19.7389366443808,14.8889636608345,0,14.7964142996004,0,0,30.6200007238771,0,19.5577220306741,0,0,0,0,0,0,25.8696367826182,12.7535799522673,4.86642169033668,0,0,0,0,0,0,0,0,25.7599940610965,0,0,0,22.344810487495,0,0,0,4.70776336827145,27.6485788113695,0,0,0,0,0,0,0,0,2.17687074829932,15.8761142559698,0,0,0,12.6826373952384,0,0,0,0,0,0,11.2416964741952,0,0,0,0,0,0,0,0,0,0,8.33505545222842,0,0,0,0,0,0,24.4074074074074,9.03995660820828,0,0,0,0,16.6733147187874,10.8532502020552,12.9808985741189,14.225181598063,0,11.4015572858732,0,0,0,0,0,0,0,14.4153764014949,9.40902843852416,24.4625934201402,0,19.9885050130915,0,0,0,0,0,0,0,0,0,18.0733698089515,0,17.8062345188578,8.6848635235732,16.1159263271939,14.2314990512334,0,0,0,32.6435961469854,16.5651505664029,0,0,0,0,0,0,0,0,0,17.043063543274,0,19.6720003192211,0,0,0,0,15.9410832478792,9.69162995594714,0,0,11.7829740591889,0,0,0,10.3176208780093,13.0321459600348,0,0,0,0,0,0,0,0,0,34.0403140937424,11.9047619047619,19.4043015129927,0,39.9218088750957,0,0,0,0,31.7920751870975,21.102580918946,16.5816326530612,0,0,0,20.5053094104724,10.8225108225108,0,26.1269489203471,0,0,0,7.97463489623367,0,0,9.47658402203857,0,15.6262393908146,0,0,0,0,0,19.3806193806194,0,0,34.345695210898,0,0,21.8756412887338,0,0
"Acid resistance protein",138.705376083399,33.3225493367842,0,10.0159131330151,0,0.14288435892551,0.374181478016838,59.3519409688803,0,1.50977579829395,0,0,168.122899663946,0,3.21706738909583,0,1.3856256400988,0,18.8487009679063,0,0,86.5966252785737,55.2658142664872,0,52.4894697051517,0,1.45900204260286,121.430381121286,0,66.5794792533587,0,11.5820601281419,0,0,0,0,92.2308789641172,40.2744630071599,7.64723408481478,0,0,0,0,0,0.133096716947649,0,0,98.6229167439961,7.21431974409583,12.3572657594244,6.61489790048893,84.3586326587535,0,0,0,0.3553028957186,104.651162790698,0,0,2.62311727872736,0,0,0.257433389110568,0,0,0,67.994013924133,0,0,0,42.3496254542758,2.20115137148662,9.9980772928283,0,0,0,0,37.0975983648441,22.0660993469226,0,0,0,0,0.131952233291548,3.227357000618,0.504301394245031,0,0,46.49721016739,0,0,0.395927601809955,0,0,0,103.111111111111,31.9110468269752,0,0,0,0,48.0255285201436,61.5402378478236,55.0847457627119,26.634382566586,0,38.3759733036707,0,0,0,11.882229232387,0.159227217239,0.188723755602736,7.96701376755888,15.8836091831287,41.019135215139,92.4185222282148,0,75.1005811354493,4.07331975560082,0,0,0,9.35044265393415,0.142995030922675,0,5.99600266489007,0,73.9976679522827,0,85.6194793662663,36.8072787427626,53.4263271939328,49.2172675521822,1.43691924513842,0,0,127.238672850517,58.4618887687141,0,0,0,0,0,0,0,0,0,61.0183756487586,0,72.1439687163322,0,0,0,2.18707283733646,63.9507784096206,55.702398433676,0,0,44.6656923639021,0,0,0,47.9465911389844,55.516941789748,0,0,0,0,0,0.632511068943707,2.31826461334658,0,0,141.929086051971,48.8832701222082,76.056720265961,0,160.402643988553,0,0,0,0,125.108777629518,67.6671424713553,63.828656462585,0,0,0,20.4137678506042,57.6886881234707,0,104.442559853872,0,10.6821030017306,0,9.41583397386626,0,0,12.4517906336088,0,62.6239390814627,0,0,0,0,0,75.2047952047952,0,0,124.763632153745,0,0,86.4354607018264,0,0
"Undecaprenyl pyrophosphate phosphatase",18.6071883144433,4.52927855063086,0,1.6849199663016,0,0,0,5.61437279435355,0,0,0,0,27.1083373339734,0,1.52387402641382,0,0,0,0,0,0,12.5579256429304,10.4306864064603,0,17.2804838535479,0,0,17.1920807846828,0,5.82570443466889,0,0,0,0,0,0,15.1157686821025,4.25119331742243,0,0,0,0,0,0,0,0,0,16.1092758249508,0,2.81557954012201,1.67769149650081,13.6362227662937,0,0,0,0,14.8255813953488,0,0,0,0,0,0,0,0,0,9.69484026286681,0,0,0,3.3375361566417,0,0,0,0,0,0,4.90546755237609,0,0,0,0,0,0,0,0,0,0,12.6059103120479,0,0,0,0,0,0,14.5925925925926,7.68396311697704,0,0,0,0,8.77542879936179,3.00196282184505,7.46569814366424,8.32324455205811,0,10.752688172043,0,0,0,0,0,0,0,4.93860117458623,3.80589914367269,15.9488404345481,0,11.7185005428188,0,0,0,0,0,0,0,1.6655562958028,0,9.05910844021885,0,11.3567322521849,4.41135925006893,8.39653304442037,10.3178368121442,0,0,0,17.6061362825544,8.36796265725508,0,0,0,0,0,0,0,0,0,8.90728012343947,0,13.0082598459758,0,0,0,0,8.01715297846555,11.4537444933921,0,0,7.12458896602119,0,0,0,4.95650414727898,3.47523892267593,0,0,0,0,0,0,1.32472263619805,0,0,19.0844329312718,5.1622418879056,9.90569238075853,0,26.2988190721857,0,0,0,0,19.9570690955503,11.6507850777362,9.88520408163265,0,0,0,4.39399487367265,12.0459250894034,0,16.2437210516015,0,2.86447454795011,0,3.36279784780938,0,0,3.41597796143251,0,9.95478702308241,0,0,0,0,0,11.5084915084915,0,0,16.5939875738047,0,0,15.7603119228401,0,0
"Drug and biocide and metal RND efflux regulator",51.9425419722407,15.7446349617168,0,1.87213329589067,0,0,0,26.1469361565608,0,5.20872650411414,0,0,55.7209153464554,0,0,0,0,0,5.00933944642554,0,0,30.2097704198946,19.936069986541,0,17.3884868776326,0,0,41.8762894060588,0,23.0650338841993,0,0,0,0,0,0,36.0474048063206,14.0214797136038,3.57533022147184,0,0,0,0,0,0,0,0,39.5308266211351,5.44476961818553,5.47473799468168,0,32.9748659621285,0,0,0,1.776514478593,41.0852713178295,0,0,0,0,0,0,0,0,0,26.6120111913592,0,0,0,16.3910109026181,0,0,0,0,0,0,17.5779253960143,0,0,0,0,0,0,0,0,0,0,15.6368395674037,0,0,0,0,0,0,36.4814814814815,12.5655396854095,0,0,0.905469032959073,0,15.7957718388512,27.9413462648655,20.3793381759483,7.56658595641647,0,16.4071190211346,0,0,0,0,0,0,0,17.6187933796049,9.51474785918173,33.2460127898914,0,26.8535666389935,0,0,0,0,6.16731323982891,0,0,0,0,26.3252309624182,0,30.2846193391597,12.5448028673835,20.9236186348862,17.314990512334,1.34112462879586,0,0,44.7199429183018,23.2253657425855,0,0,0,0,0,0,0,0,0,23.2150371721139,0,24.89924584015,0,0,0,0,22.7463410086697,15.5653450807636,0,0,20.460358056266,0,0,0,14.4648998583856,30.4952215464813,0,0,0,0,0,0,0,0,0,43.0866995871448,23.3881163084703,23.8822172467603,0,56.2452138164524,0,0,0,0,43.6270812786448,27.2366035260985,27.7423469387755,0,0,0,9.42878066642256,21.5509128552607,0,32.8136212407854,0,2.32738557020946,0,4.70791698693313,0,0,4.51790633608815,0,21.5753153010232,0,0,0,0,0,29.7302697302697,0,0,39.8641608459075,0,0,30.5766468294685,0,0
