"Phylum","NPB_F16_4_H3_S90","NPB_F10_8_D7_S22","NPB_F9_3_C5_S5","NPB_F1_8_H2_S8","NPB_F17_6_F5_S59","NPB_F1_6_F2_S6","NPB_F9_4_D5_S6","NPB_F18_12_H7_S77","NPB_F8_2_F12_S39","NPB_F6_12_H10_S25","NPB_F5_7_G8_S8","NPB_F13_10_B12_S60","NPB_F18_6_B7_S71","NPB_F4_6_B7_S42","NPB_F11_12_D9_S38","NPB_F6_9_E10_S22","NPB_F3_11_C6_S35","NPB_F13_6_F11_S56","NPB_F13_12_D12_S62","NPB_F8_12_H4_S2","NPB_F14_12_H1_S74","NPB_F6_6_B10_S19","NPB_F1_7_G2_S7","NPB_F16_10_F4_S51","NPB_F10_1_E6_S15","NPB_F1_2_B2_S2","NPB_F5_4_D8_S5","NPB_F12_4_H9_S42","NPB_F12_1_E9_S39","NPB_F12_12_H10_S50","NPB_F10_3_G6_S17","NPB_F17_8_H5_S61","NPB_F2_1_E3_S13","NPB_F8_6_B4_S43","NPB_F4_12_H7_S1","NPB_F9_2_B5_S4","NPB_F8_9_E4_S46","NPB_F5_1_A8_S2","NPB_F18_5_A7_S70","NPB_F2_11_G4_S23","NPB_F7_7_G11_S32","NPB_F13_4_D11_S54","NPB_F1_9_A3_S9","NPB_F7_9_A12_S34","NPB_F9_11_C6_S13","NPB_F10_11_G7_S25","NPB_F4_5_A7_S41","NPB_F6_3_G9_S16","NPB_F15_12_D3_S86","NPB_F7_8_H11_S33","NPB_F18_11_G7_S76","NPB_F8_5_A4_S42","NPB_F1_3_C2_S3","NPB_F18_7_C7_S72","NPB_F16_5_A4_S91","NPB_F6_7_C10_S20","NPB_F15_9_A3_S83","NPB_F14_2_F12_S64","NPB_F4_9_E7_S45","NPB_F11_4_D8_S30","NPB_F16_3_G3_S89","NPB_F7_11_C12_S36","NPB_F11_1_A8_S27","NPB_F8_11_G4_S1","NPB_F3_12_D6_S36","NPB_F6_11_G10_S24","NPB_F18_1_E6_S66","NPB_F3_1_A5_S25","NPB_F16_1_E3_S87","NPB_F5_6_F8_S7","NPB_F4_1_E6_S37","NPB_F3_9_A6_S33","NPB_F10_5_A7_S19","NPB_F15_3_C2_S77","NPB_F1_12_D3_S12","NPB_F6_5_A10_S18","NPB_F9_8_H5_S10","NPB_F16_9_E4_S50","NPB_F7_5_E11_S30","NPB_F6_10_F10_S23","NPB_F14_10_F1_S72","NPB_F12_7_C10_S45","NPB_F8_10_F4_S47","NPB_F13_9_A12_S59","NPB_F8_8_D4_S45","NPB_F7_2_B11_S27","NPB_F17_2_B5_S55","NPB_F18_10_F7_S75","NPB_F10_4_H6_S18","NPB_F1_5_E2_S5","NPB_F2_12_H4_S24","NPB_F4_10_F7_S46","NPB_F14_9_E1_S71","NPB_F7_10_B12_S35","NPB_F3_4_D5_S28","NPB_F3_7_G5_S31","NPB_F15_8_H2_S82","NPB_F14_4_H12_S66","NPB_F12_9_E10_S47","NPB_F7_1_A11_S26","NPB_F12_8_D10_S46","NPB_F2_9_E4_S21","NPB_F18_3_G6_S68","NPB_F1_11_C3_S11","NPB_F10_6_B7_S20","NPB_F2_3_G3_S15","NPB_F11_6_F8_S32","NPB_F12_2_F9_S40","NPB_F4_11_G7_S47","NPB_F6_2_F9_S15","NPB_F12_6_B10_S44","NPB_F5_10_B9_S11","NPB_F9_12_D6_S14","NPB_F13_5_E11_S55","NPB_F16_6_B4_S92","NPB_F18_4_H6_S69","NPB_F1_10_B3_S10","NPB_F2_6_B4_S18","NPB_F14_7_C1_S69","NPB_F5_3_C8_S4","NPB_F14_8_D1_S70","NPB_F17_12_D6_S65","NPB_F7_12_D12_S37","NPB_F17_7_G5_S60","NPB_F11_7_G8_S33","NPB_F5_9_A9_S10","NPB_F18_9_E7_S74","NPB_F16_11_G4_S52","NPB_F5_11_C9_S12","NPB_F3_8_H5_S32","NPB_F3_10_B6_S34","NPB_F16_8_D4_S49","NPB_F7_3_C11_S28","NPB_F1_4_D2_S4","NPB_F5_2_B8_S3","NPB_F8_7_C4_S44","NPB_F11_11_C9_S37","NPB_F15_11_C3_S85","NPB_F1_1_A2_S1","NPB_F15_2_B2_S76","NPB_F12_10_F10_S48","NPB_F9_10_B6_S12","NPB_F3_6_F5_S30","NPB_F10_10_F7_S24","NPB_F10_2_F6_S16","NPB_F15_1_A2_S75","NPB_F9_6_F5_S8","NPB_F15_6_F2_S80","NPB_F2_8_D4_S20","NPB_F11_10_B9_S36","NPB_F8_1_E12_S38","NPB_F15_7_G2_S81","NPB_F13_7_G11_S57","NPB_F7_6_F11_S31","NPB_F17_4_D5_S57","NPB_F12_3_G9_S41","NPB_F6_8_D10_S21","NPB_F9_7_G5_S9","NPB_F11_2_B8_S28","NPB_F12_11_G10_S49","NPB_F9_5_E5_S7","NPB_F4_3_G6_S39","NPB_F8_4_H12_S41","NPB_F2_10_F4_S22","NPB_F16_2_F3_S88","NPB_F6_1_E9_S14","NPB_F4_4_H6_S40","NPB_F8_3_G12_S40","NPB_F18_2_F6_S67","NPB_F5_8_H8_S9","NPB_F10_7_C7_S21","NPB_F11_8_H8_S34","NPB_F2_7_C4_S19","NPB_F14_6_B1_S68","NPB_F17_10_B6_S63","NPB_F14_3_G12_S65","NPB_F9_1_A5_S3","NPB_F12_5_A10_S43","NPB_F4_7_C7_S43","NPB_F5_12_D9_S13","NPB_F4_8_D7_S44","NPB_F15_5_E2_S79","NPB_F4_2_F6_S38","NPB_F14_5_A1_S67","NPB_F17_5_E5_S58","NPB_F3_3_C5_S27","NPB_F2_4_H3_S16","NPB_F14_11_G1_S73","NPB_F7_4_D11_S29","NPB_F5_5_E8_S6","NPB_F13_2_B11_S52","NPB_F15_10_B3_S84","NPB_F13_3_C11_S53","NPB_F10_9_E7_S23","NPB_F16_7_C4_S48","NPB_F14_1_E12_S63","NPB_F3_2_B5_S26","NPB_F16_12_H4_S53","NPB_F2_5_A4_S17","NPB_F13_11_C12_S61","NPB_F18_8_D7_S73","NPB_F2_2_F3_S14","NPB_F17_1_A5_S54","NPB_F17_11_C6_S64","NPB_F11_5_E8_S31","NPB_F11_3_C8_S29","NPB_F13_8_H11_S58","NPB_F13_1_A11_S51","NPB_F9_9_A6_S11","NPB_F11_9_A9_S35","NPB_F6_4_H9_S17","NPB_F17_3_C5_S56","NPB_F3_5_E5_S29","NPB_F10_12_H7_S26","NPB_F15_4_D2_S78","NPB_F17_9_A6_S62"
"Candidatus Korarchaeota",33,24,7,23,4,4,19,0,0,27,5,56,5,11,22,4,24,48,47,14,50,85,2,13,32,7,21,28,20,57,31,3,20,28,10,42,24,11,13,3,12,57,9,12,27,83,25,12,67,7,8,42,22,24,15,10,64,51,29,11,52,12,22,10,0,18,13,53,32,34,16,12,77,40,7,18,8,5,9,14,44,52,9,55,22,9,11,19,39,6,5,17,38,12,8,9,53,48,3,15,40,3,88,14,21,5,19,28,19,32,58,6,52,68,14,10,2,20,33,23,29,6,7,186,12,16,1,37,21,8,10,6,14,11,14,7,22,64,21,50,22,21,2,46,0,26,51,25,8,13,59,55,47,9,3,43,17,24,27,68,33,29,3,6,8,18,10,32,12,13,43,20,5,29,27,43,25,21,18,17,18,42,7,39,14,3,8,11,13,14,52,41,79,22,76,46,1,4,22,91,21,35,1,12,12,26,44,24,19,28,5,0,6,27,40,51
"Candidatus Micrarchaeota",45,86,33,60,1,115,88,9826,0,39,142314,20,25,31,85,171672,64,50,16,33,42,187961,22,20,322,402,51,87,46,123,47,23,302,59,203325,162,24,23,2,128,20,27,119,25,24,42,169,38,31,117,296,56,43,5,95,37,34,36,65,93,41,21,76,86,374614,249538,15,64,275,193432,156,63,34,121,43,32,17,63,43,58,78,168,17,59,110,81,126,6,29,238,20,23,8,11,49,46,26,73,627337,94,34,41,208,58,36,26,185689,96,38,102446,45,34,40,38,62,29,48,82930,41,24,41,1,24,7,88,39,6,14,34,53,68,45,46,80,310326,50,61,32,989,53,183,168,71,27,0,20,92,45,33,54,72,30,41,23,5,38,28,67,39,30,32,52,8,126492,134,31,67,62,140,49,154,56,34,175,17,48,62,68,52,49,46,85,29,57,382,17,121,69,21,10,44,209,51,53,9,46,28,13,52,22,19,114,16,7,80,50,13,54,132,43,74,16,49,28,81,53
"Crenarchaeota",2913,3410,3297,3578,1110,2677,2770,185,30,2781,1171,3304,2216,3003,2626,2447,1971,3660,3000,2118,2970,2764,2480,2044,3837,3161,1887,2290,3598,3798,3025,2283,3282,2278,2121,4071,2767,2225,1986,2814,2221,2997,2384,1984,2964,3628,3482,1864,3394,2185,3368,3037,2547,2007,4227,2180,4422,4126,2962,2322,2520,2093,3178,3011,2120,2882,2027,2191,2516,2163,3111,3258,3986,4187,2548,2541,785,1361,3297,2691,2843,3918,2340,3608,2309,3232,1816,2886,3257,6405,1626,2678,3102,2157,1673,1988,2936,3778,2777,2931,2720,2027,3133,2333,3991,2025,2685,3787,3209,2113,3413,2978,3823,3647,1651,1456,2454,2078,3436,2006,2630,1813,2317,1734,2986,2170,1915,2720,2645,2568,2864,1905,2117,1971,2265,2149,4561,4526,3169,2796,3979,3692,2237,3064,3,2831,3256,3520,1636,2553,6659,2593,3373,4001,1338,3227,1979,2789,3138,3296,3075,2128,129,1626,1374,2465,2975,2650,1366,1952,3653,2542,1665,4510,1617,3048,4244,2674,3047,2477,2717,3626,2833,4010,2520,1802,2301,3011,2742,2314,3616,3165,3739,3414,2122,2773,2074,2065,1707,4046,2857,2831,1916,1702,3853,3011,2876,2338,3484,1953,2111,515,2097,3359,3087,1591
"Euryarchaeota",680978,109021,202311,616752,440098,123022,293554,2484,1011,106603,43105,165782,436062,76058,218806,43146,171810,134693,135117,154573,159344,42287,140018,383366,150339,898267,82042,95781,137780,245753,81517,343333,208869,79533,40121,298865,152058,63731,303477,726735,112359,115750,314764,87116,102601,214959,80955,74129,144123,81411,597849,100155,144331,408049,240047,118943,135585,127266,127856,141874,451004,143904,200234,159195,31170,39357,222846,331330,720290,31411,151803,348714,138203,239587,467729,84119,66856,502421,218952,119810,98693,328368,75261,137701,191681,193318,465373,448046,219780,1065491,142107,100075,142978,105671,309196,380829,164635,156843,42431,138819,133935,157299,434298,300290,454433,131921,45584,155430,207390,35824,224725,68330,320722,150506,387069,499962,304378,30996,183571,63367,116935,360001,69048,577406,145408,64034,431061,303062,66150,686347,215572,445645,110913,222910,27298,104851,168883,283816,1482717,125530,206697,217148,468059,128724,117,155299,237159,147012,99889,110453,542136,209722,129678,294963,430659,225765,83070,162816,128348,183254,123044,65792,11591,33697,518046,67439,147671,142093,464901,40055,163131,100684,130320,238432,863151,110540,117109,145769,120723,51165,92495,270468,96063,113846,828935,210223,379746,110580,190949,80105,234887,141644,137183,162129,580184,90521,178015,415820,226410,153886,486606,457947,342340,515116,175629,197867,113051,83365,121972,106775,78710,386160,443851,130697,143951,434118
"Thaumarchaeota",1301,1722,1665,2065,504,1891,2578,42,15,1343,512,2832,1625,1773,1432,1263,1104,2010,2877,1291,1910,1233,1488,683,2146,1336,1132,1560,2653,2394,1943,1205,2043,1145,913,2906,2013,1154,1238,1361,1236,2098,1111,1720,1604,2469,2240,987,2365,955,1043,1914,1656,1679,858,1280,3081,3566,2175,1656,1654,1408,2075,2081,1104,1387,681,1190,1196,1084,1667,1825,2873,2569,2208,1256,442,442,2141,1723,1894,2588,1526,2976,1491,2276,802,1253,2995,3507,899,1509,3056,2495,1204,1444,2616,2116,1037,1883,2874,1105,1994,1524,2459,1059,1262,2344,1933,911,2067,1808,2376,2079,925,668,1429,1354,2754,1337,1640,830,1111,860,2159,1628,1272,1368,1964,2050,1577,673,1230,971,1507,1417,2625,2619,2099,1833,3567,2603,1302,2948,2,2248,1693,2512,979,1622,4091,1661,2094,2387,1085,1799,1076,1465,1643,1701,1806,1180,62,977,1121,1639,1891,1386,653,1260,2177,1600,744,2639,919,1570,3607,1671,1767,1533,1541,2239,1687,2552,438,829,1756,1714,1487,1119,2333,2664,2391,3154,1628,1535,1282,1385,1063,2104,2063,1983,369,1629,2307,1582,2487,1488,2730,1320,1178,187,1275,2332,2065,936
"Acidobacteria",11348,8844,9346,13553,5986,10234,9255,219,115,8921,3788,10301,6991,9068,6026,5885,8051,8758,9327,6278,7884,10321,8780,8623,12233,13272,5478,6735,10164,10379,9730,9292,11935,6592,6198,13958,9426,7270,5792,10681,7042,8071,8924,6983,9750,9933,8635,7008,9415,6275,16626,6934,10691,7239,10927,7789,9525,13923,10272,7097,6616,8595,11218,8554,9065,8648,5239,9156,8481,6624,10411,12504,9286,10675,10944,6544,3148,6637,8238,8842,7927,11283,6540,11191,7846,12067,8989,11705,10235,17124,6160,8423,9021,7460,6970,9859,7931,12470,5437,8990,10473,7232,12497,9184,9590,7213,6669,11211,9288,5126,9818,6720,12656,9193,7962,7268,10746,6089,9054,7407,7964,4400,7872,12091,9744,5292,9419,17014,8497,11675,9007,11491,7283,7295,5954,6312,10710,10076,11099,8901,12838,11379,10647,10251,4,9070,10575,10058,8349,8722,16855,5601,10820,8851,3739,9005,7255,8189,9339,8779,9219,7553,358,6367,5460,7440,9317,7334,7149,6403,10753,7078,6854,11647,10623,9939,12337,7669,8920,6589,7054,9195,8129,9868,10091,6039,8684,10177,7997,4623,10176,8809,9089,11660,7424,9341,9331,8821,6348,9384,12202,9270,5845,6820,9016,10748,7327,5053,8297,5565,7197,3013,10309,8944,8266,10216
"Actinobacteria",2315771,577218,577793,1349055,777713,975663,501002,151365,6740,596738,261662,526786,643928,561504,375771,414587,634208,511855,508320,453999,380202,552474,660817,1316322,672886,1083617,357202,416296,479849,587568,637888,643921,1383333,415299,430744,823266,659154,501413,410445,1198103,469510,452049,813724,547884,719378,613651,513246,481919,446295,426578,1440558,553095,1011769,1329502,869195,516500,548486,670248,594952,430232,561084,585164,724353,564607,855366,530476,1083947,764532,964671,423495,578583,1252954,589318,562903,902217,541728,235778,1636896,543304,558775,444261,837345,566496,579019,607460,687801,1028600,1238092,520745,1923312,690760,528262,431398,455350,579539,1113732,400124,601475,1431155,511769,560015,571079,1293132,803333,543441,651564,490168,644550,640268,305611,621242,507860,711528,503121,1151243,436121,970873,583800,453044,536990,430546,353304,573836,880642,570605,394328,2276784,998336,564099,1277002,919822,626419,542877,581040,585734,400752,600218,550954,1118055,489214,807128,831489,1135311,559202,426,558610,644775,573451,840548,599314,1075103,361557,574357,643674,768763,582161,529769,591406,803864,648738,654057,518440,26255,807858,687716,445799,585480,411616,1002468,507482,695556,495600,611595,726698,536300,527253,674213,543952,583775,501524,453156,522693,545504,503325,1441230,472959,597726,667801,538771,391354,509342,431991,508293,688918,1234481,472794,757148,693638,561485,521267,1238187,794705,444698,932893,579568,871447,376425,298207,532771,346003,502322,210627,1071039,652617,459602,748857
"Aquificae",1983,3603,3642,4730,1252,3684,3621,29,46,3435,1203,3693,2166,4467,2985,2842,2165,3968,4006,2155,4020,3384,3095,1805,4670,3332,1941,3254,4210,5036,3613,2296,5108,2701,1956,5586,3808,2680,2293,3621,2671,3398,3088,2843,3550,3684,4810,2225,4025,2372,2560,3428,4089,2605,1700,2444,4757,4374,3559,3360,2767,2624,3712,3246,2593,3463,922,2647,2464,2642,3455,3437,4419,4773,3215,2734,1067,1084,4290,3469,3527,5214,2858,4437,3073,4064,1778,2619,3656,7102,1993,2944,4065,2990,2004,2317,3482,4418,2643,3452,3566,2427,3691,2448,4180,2801,2767,4422,3718,2284,4351,2600,5697,3555,1569,1461,2675,2620,4087,2372,3497,1095,2576,2378,3730,2403,2170,3124,2817,3192,2994,2567,2308,2358,2338,2731,4137,4964,4253,3715,5699,4748,2944,3545,2,3239,4166,4621,2611,2827,6703,2899,3782,5180,1292,3506,2221,3022,3491,3781,3494,2235,146,2299,1839,3058,3288,3034,1175,1797,4023,3056,2057,5464,1582,4122,5070,3192,3600,2456,3279,5261,2952,4827,1379,2136,2854,3947,2769,1893,4022,4444,3822,4029,2868,3983,2388,2513,1945,3899,3751,3035,1620,2215,4446,3537,3371,2379,5189,2511,2590,540,2710,3842,4392,1872
"Armatimonadetes",2531,1868,2149,3335,1878,2662,2099,32,17,2106,973,2376,1747,2052,1638,1439,2254,1964,2148,1451,1659,2066,2630,2518,3075,3328,1069,1724,2014,2728,2058,2555,3094,1772,1194,3610,2319,1459,1382,2720,1665,2012,2593,1604,2131,2650,2741,1432,2372,1538,4130,1941,3055,1826,2897,1952,2438,3349,2023,1762,1875,2416,2704,2157,2278,1974,1243,2316,3494,1599,2403,4229,2404,2586,3512,1590,806,2324,2512,2140,1777,3047,1786,2539,1972,2643,3241,3371,2551,5671,1476,1915,2016,1529,2161,3079,1812,2806,1258,2035,2736,2283,3360,2918,2465,1986,1498,2432,2486,1309,2459,1613,2940,2045,1773,2023,3316,1874,2145,1804,1939,1272,1582,3727,2253,1414,2774,4589,2200,3987,2232,3527,1689,1814,1532,1685,2514,2615,2965,2240,3255,2763,3002,2455,1,2178,2708,2574,2651,2094,4166,1389,2442,1980,584,2223,1753,1942,2001,1955,2179,1740,93,1827,1835,1613,2078,1736,1559,1420,2593,1841,1596,2799,3831,2432,3095,2057,2306,1653,1744,2373,2016,2416,2102,1572,2347,2583,1876,1206,2703,2018,2012,2844,3118,2344,2916,2874,1908,1981,2571,2835,1721,2013,2713,2766,1769,1272,2027,1471,1561,1484,3056,2212,1931,3257
"Bacteroidetes",1815463,1402599,1609737,1489781,1942681,1648949,870311,11795,22705,1104105,360166,882402,2522410,2009910,938578,1403360,644278,980186,972474,951766,640133,2391758,708550,3785570,1828849,851061,1004966,1184408,1899966,1985758,1545096,3303474,692162,1359469,1609594,1706230,1194829,1000133,4622650,598475,1014580,766991,778457,658800,1316557,1151756,1750222,1465815,956421,1076824,1037764,1142160,1557684,3580555,2263435,1094786,1010598,1005070,1538437,1381638,1963026,998339,1642778,1253958,1970819,1763201,2378302,1028312,1697581,1367448,1495414,1111373,1644059,1409646,1108681,1071557,526766,4156879,1167893,1313079,644362,1370008,761063,824534,896133,1550567,2351653,3094292,1234088,1624260,1084660,1835354,812056,1090546,975306,769372,972397,1013061,1148159,1348757,1380551,794503,652843,815224,1205253,637698,1146700,2099128,1411625,1240553,1631460,923443,2279510,729219,2697585,5259079,855360,1140704,894083,1047756,1042355,1421283,1237950,2253273,1240274,723975,860681,3677400,1087185,992119,747803,1515991,773120,1315394,925105,1016863,1259601,1429021,1474045,1204929,1467166,1474090,633537,1201121,1167,1079969,1689043,1207473,422570,1233466,2333632,752841,900941,797429,894309,1299582,970275,888623,1658906,1674713,1333255,1380128,45449,925580,917746,1154235,1360518,1053666,1671698,812227,1379892,1528049,652015,1169161,3309790,851280,1405724,1211203,1751200,1024450,1570680,976578,1360935,902796,1515713,866120,1021378,873699,946790,734662,1073869,1098586,1060540,1353131,3136383,1021046,1319589,2355915,1011470,736585,1939976,848380,1491511,4401210,939315,1580420,670775,540454,1189887,844133,953645,1713433,608080,1070741,1145387,3514392
