Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
TETW,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0673178404953614,-0.380110845786967,0.245475164796244,10.5518496927516,-0.531605864489458,0.595557240255287,0.808781437383723,-8.21465229335428
TETQ,TreatmentGroupGrp1...TreatmentGroupGrp2,0.094419278758604,-0.10903422612893,0.297872783646138,10.0636305869931,0.587849597195004,0.557254878675874,0.779722777487931,-8.18657433853208
TETO,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.072307782116841,-0.301195733306989,0.156580169073307,9.66660629465526,-0.496623392387003,0.6199683145594,0.828297748196769,-8.23617440969825
TET40,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0238167840720038,-0.328058818762156,0.375692386906164,9.06238298830176,0.162253722148493,0.871260326984443,0.949136109181777,-8.34671686394613
ANT6,TreatmentGroupGrp1...TreatmentGroupGrp2,0.180262804929761,-0.0941443662596922,0.454669976119214,7.88206105547538,1.29487866040611,0.196761494434311,0.454224437954286,-7.52139402855653
LNUC,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0918010679465597,-0.219432042654726,0.0358299067616066,7.59221480159805,-0.678543392057605,0.498162480662044,0.740510495719249,-8.12901794804401
MEFA,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0682310770185666,-0.314567595823152,0.451029749860285,7.48856789315243,0.384619694663694,0.700904073501839,0.863053523341817,-8.28220321751275
APH2-DPRIME,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.126577513982681,-0.474539955045403,0.22138492708004,7.45342032017786,-0.717057962731548,0.474126221952065,0.731129220767203,-8.10208831875921
APH3-DPRIME,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.210982397837152,-0.566719509151701,0.144754713477397,7.2918887035281,-1.16905637822746,0.243685282354352,0.524336605145716,-7.67594308213725
ERMF,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0882618618915467,-0.333429702597533,0.15690597881444,7.27122145420205,-0.47953117476808,0.632051933416492,0.829163494561913,-8.24454436190246
ANT9,TreatmentGroupGrp1...TreatmentGroupGrp2,0.124910191205123,-0.144621068873128,0.394441451283373,7.08728217660051,0.913497025405997,0.362012248620609,0.64926109806957,-7.94178286490751
TET44,TreatmentGroupGrp1...TreatmentGroupGrp2,0.158837201133628,-0.208801363369829,0.526475765637085,6.90879015476894,0.730703430593706,0.465769479002276,0.728454635406404,-8.08870808475981
TETL,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.358363902624227,-0.661638728333643,-0.0550890769148107,6.70456137258839,-0.99412317630194,0.321310328743897,0.616467491194687,-7.85786522361094
SAT,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.217250697755332,-0.285475992998359,-0.149025402512304,6.26974832762533,-1.6627889659792,0.0978228872561832,0.29346866176855,-6.98068901141666
ERMB,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.845051689215932,-1.15130354638192,-0.53879983204994,6.20143917308254,-3.35689967200694,0.000933163995387698,0.00751070123042953,-2.84659757569219
LNUA,TreatmentGroupGrp1...TreatmentGroupGrp2,0.409108731063093,-0.0729924711541516,0.891209933280337,6.08444554956217,1.89879992481482,0.0589400472108189,0.198471587546635,-6.56486908115449
MEFE,TreatmentGroupGrp1...TreatmentGroupGrp2,0.254176798923872,-0.11972207024663,0.628075668094374,5.88369056150664,1.80225679512706,0.0729229640330735,0.231390174335714,-6.74145048272954
CFR,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.295733157580074,-0.3645673554229,-0.226898959737247,5.70841451439614,-2.03036005203064,0.0435845900203816,0.156336029420934,-6.2994962588956
AAC6-PRIME,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.152066871386099,-0.639377066971347,0.335243324199149,5.33337111166562,-0.789639401057449,0.430619129628928,0.713759163891334,-8.04384674294875
TETB,TreatmentGroupGrp1...TreatmentGroupGrp2,0.216628056371218,-0.197406442385946,0.630662555128381,5.16345319151434,0.75500424034242,0.451107008131965,0.716647287906893,-8.05645527507846
ERMG,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.391349651829127,-0.748137789400229,-0.0345615142580246,4.79284353042955,-1.95076778912593,0.052412733718334,0.182065285547897,-6.4592306397258
TET32,TreatmentGroupGrp1...TreatmentGroupGrp2,0.2042629464057,-0.154899998413322,0.563425891224723,4.74192119844124,1.39363031657234,0.164973051365939,0.409331631208722,-7.35579075370555
ACI,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.122924450716009,-0.470319166530958,0.22447026509894,4.49666603202315,-0.577380463254352,0.564302802890122,0.780320291629592,-8.18202164917129
