Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
Tetracycline resistance ribosomal protection proteins,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0305479938878417,-0.288185723172208,0.227089735396525,12.0856979212838,-0.20507270786017,0.837710400659551,0.945109169974878,-8.21860494217156
23S rRNA methyltransferases,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.364082316134983,-0.45279291727655,-0.275371714993415,8.61852174642214,-2.36179224475098,0.0190849568423381,0.23992517173225,-5.47547784465597
Aminoglycoside O-nucleotidyltransferases,TreatmentGroupGrp1...TreatmentGroupGrp2,0.151485772517134,-0.110745322443486,0.413716867477754,8.55520639853058,1.13867757327198,0.2561117599231,0.682964693128266,-7.59080058502767
Aminoglycoside O-phosphotransferases,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.171322857797858,-0.521236084188615,0.1785903685929,8.40801380171552,-0.965090545211081,0.335589661770075,0.740789293220105,-7.77317194749329
Lincosamide nucleotidyltransferases,TreatmentGroupGrp1...TreatmentGroupGrp2,0.152417938949744,-0.390373921401765,0.695209799301254,8.32237783376427,1.17181828169028,0.242574016882268,0.671336716483722,-7.55260070297508
MLS resistance MFS efflux pumps,TreatmentGroupGrp1...TreatmentGroupGrp2,0.140483381443488,-0.115899441413465,0.396866204300441,7.95667082449738,0.868139573374476,0.386291203790126,0.743250947971753,-7.86204289012812
Tetracycline resistance MFS efflux pumps,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.247538752115558,-0.723915597333004,0.228838093101889,7.86211745492406,-0.966472074780586,0.334899823487342,0.740789293220105,-7.77183818954868
Streptothricin acetyltransferase,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.217250697755332,-0.697532414001259,0.263031018490595,6.26974832762533,-1.66212938180894,0.0979520656360038,0.457956159706141,-6.86175352867635
Class A betalactamases,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0792616412407483,-0.38814076869215,0.229617486210653,5.8699347439101,-0.456476218950877,0.648513062378882,0.91719681313804,-8.13168063359854
Aminoglycoside N-acetyltransferases,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.154518214885984,-0.458376444115818,0.14934001434385,5.35161230654538,-0.788817786404838,0.43109631492841,0.743250947971753,-7.92432473074571
Multi-drug ABC efflux pumps,TreatmentGroupGrp1...TreatmentGroupGrp2,0.035783934684372,-0.242627837819319,0.314195707188063,3.6129328925834,0.134153575004827,0.893408467692887,0.984836578985481,-8.22388059346862
Multi-metal resistance protein,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.576097424447512,-1.48445506458378,0.332260215688753,2.8069299797088,-1.25671382627489,0.211489210729922,0.656399357244821,-7.09865705159739
Drug and biocide RND efflux pumps,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.362035201199978,-0.847324065123653,0.123253662723697,2.67834982358676,-0.944127470311609,0.347567310959335,0.740789293220105,-7.36011489525135
Copper resistance protein,TreatmentGroupGrp1...TreatmentGroupGrp2,0.234694729328194,-0.459548226414674,0.928937685071061,2.55177139062984,0.668151185413609,0.50555911745685,0.80889458793096,-7.61727089085223
16S rRNA methyltransferases,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0694883009229161,-0.367669586389666,0.228692984543833,2.51965088152789,-0.370211022371195,0.711662160608582,0.91719681313804,-8.07017612486216
Arsenic resistance protein,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.565674968624503,-1.11215282413768,-0.0191971131113232,2.39827747654304,-2.05304207019214,0.0426143518621407,0.32579574290315,-5.75988392251964
Drug and biocide and metal RND efflux pumps,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.551210834325543,-1.05924663148408,-0.0431750371670041,2.30945190874447,-1.57895997330662,0.118112868949954,0.457956159706141,-6.50845526409307
Multi-metal RND efflux pumps,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.619120312292042,-1.31591431046618,0.0776736858820981,2.27375697610741,-1.61021422969441,0.110623921491018,0.457956159706141,-6.52253395490166
Nickel ABC efflux pumps,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.567005961247716,-0.779879944738871,-0.354131977756561,2.12901425749288,-1.80113107869784,0.0748378297520121,0.42286337404681,-6.20766277550081
Drug and biocide RND efflux regulator,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.193740997233459,-0.420487413212181,0.0330054187452621,2.07309316652233,-0.513239081292484,0.608884279176377,0.898342151095703,-7.70764417258503
Acid resistance protein,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.196958593419732,-0.988778870091826,0.594861683252363,1.9637514004494,-0.493552735589998,0.622714445645885,0.898342151095703,-7.71690816083446
Biocide and metal resistance protein,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.137229031369236,-0.589366496959005,0.314908434220534,1.94496869855795,-0.347759672570927,0.728660540680246,0.91719681313804,-7.83821700923804
Macrolide phosphotransferases,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0853550442164577,-0.404324067170792,0.233613978737877,1.85069777604639,-0.502776946652019,0.615679918353746,0.898342151095703,-8.07230176439487
Multi-metal resistance regulator,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.144036277608546,-0.50609277227078,0.218020217053688,1.75684736966806,-0.346493149998077,0.729588374087078,0.91719681313804,-7.86748243629237
Lipid A modification,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.190342095848179,-0.490989173732617,0.11030498203626,1.71859383454488,-0.777229306939164,0.439193741983308,0.743250947971753,-7.45143695842938
