Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
Bacteria,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.036173370091289,-0.21275642041958,0.140409680237002,15.3672020194313,-0.403716567970855,0.686812117904301,0.901088047506835,-4.82772565566921
Archaea,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0213001422597667,-0.358660299797073,0.316060015277539,9.66853851029871,-0.124430065226685,0.901088047506835,0.901088047506835,-4.85830659023645
Eukaryota,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0551959544730725,-0.194296382836687,0.304688291782832,9.61641766067656,0.436000163075961,0.663262856307551,0.901088047506835,-4.82210886287974
Viruses,TreatmentGroupGrp1...TreatmentGroupGrp2,0.184475373855899,-0.0818535445789827,0.450804292290781,5.26016145306405,1.36507555401006,0.173619480149591,0.694477920598365,-4.47751214176386
Bacteria,TreatmentGroupGrp1...TreatmentGroupGrp3,0.040762876602777,-0.135820173725514,0.217345926931068,15.3672020194313,0.454938221159979,0.649600955728491,0.649600955728491,-4.81861353291016
Archaea,TreatmentGroupGrp1...TreatmentGroupGrp3,-0.165088331703139,-0.502448489240444,0.172271825834167,9.66853851029871,-0.964404445353744,0.335898914331409,0.495694941283595,-4.66921217796424
Eukaryota,TreatmentGroupGrp1...TreatmentGroupGrp3,0.11330147040934,-0.13619086690042,0.3627938077191,9.61641766067656,0.894983337942241,0.371771205962696,0.495694941283595,-4.69582479101043
Viruses,TreatmentGroupGrp1...TreatmentGroupGrp3,0.122285920729064,-0.144042997705817,0.388614839163946,5.26016145306405,0.904887831354945,0.366511732257271,0.495694941283595,-4.69214796683587
Bacteria,TreatmentGroupGrp2...TreatmentGroupGrp3,0.076936246694066,-0.0996468036342253,0.253519297022357,15.3672020194313,0.858654789130834,0.391462773583922,0.64669804149295,-4.70896838563852
Archaea,TreatmentGroupGrp2...TreatmentGroupGrp3,-0.143788189443372,-0.481148346980678,0.193571968093934,9.66853851029871,-0.839974380127059,0.401831931545851,0.64669804149295,-4.71551715510729
Eukaryota,TreatmentGroupGrp2...TreatmentGroupGrp3,0.0581055159362673,-0.191386821373493,0.307597853246027,9.61641766067656,0.45898317486628,0.64669804149295,0.64669804149295,-4.81784776816487
Viruses,TreatmentGroupGrp2...TreatmentGroupGrp3,-0.0621894531268348,-0.328518371561717,0.204139465308047,5.26016145306405,-0.460187722655111,0.645834624409725,0.64669804149295,-4.81761842501573
