Node.Name,Contrast,logFC,CI.L,CI.R,AveExpr,t,P.Value,adj.P.Val,B
Firmicutes,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.0127341737947795,-0.215364233512658,0.189895885923099,14.5980469994068,-0.123870086654687,0.90153385915582,0.981374909512374,-5.9083678533975
Bacteroidetes,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.00452200906535083,-0.259537848050059,0.250493829919358,12.3000630199214,-0.0349513386849828,0.972150969492212,0.981374909512374,-5.91495570144671
Proteobacteria,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0173850965211209,-0.170780363205824,0.205550556248066,12.1662055105664,0.182111235756243,0.855667011363907,0.981374909512374,-5.90005535758818
Actinobacteria,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.00896792623828269,-0.210565751250924,0.192629898774358,11.341568068083,-0.0876810468318846,0.930211791368709,0.981374909512374,-5.91193915530875
Euryarchaeota,TreatmentGroupGrp1...TreatmentGroupGrp2,0.150448568873946,-0.231564748833731,0.532461886581623,9.4541651350551,0.776263379170918,0.438446565254787,0.717769568529754,-5.63483617325065
Spirochaetes,TreatmentGroupGrp1...TreatmentGroupGrp2,0.140768891787006,-0.269997847247416,0.551535630821429,8.70056809876963,0.67547761671494,0.500098177897688,0.725948967915999,-5.70291359523647
Chordata,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.13272654688611,-0.36875331219654,0.10330021842432,7.65094080899937,-1.10839888986411,0.268927894854613,0.588911851736187,-5.34414557416728
Cyanobacteria,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0611669233625678,-0.0175456208560054,0.139879467581141,7.42110508625675,1.53169476212984,0.127067776867981,0.512632678098288,-4.82740700863989
Tenericutes,TreatmentGroupGrp1...TreatmentGroupGrp2,0.078925439818736,-0.100531868659165,0.258382748296637,6.72111036989986,0.866872851226841,0.386978056426375,0.717769568529754,-5.56561429267109
Fusobacteria,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0590992620851152,-0.0811732149229033,0.199371739093134,6.70195294504917,0.830441670306567,0.407210269231135,0.717769568529754,-5.59435767598012
Synergistetes,TreatmentGroupGrp1...TreatmentGroupGrp2,-0.161722369936676,-0.884586956455845,0.561142216582493,6.40572315175574,-0.440973700507071,0.659675115821245,0.899556976119879,-5.82485338929339
Planctomycetes,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0901278835640777,-0.0245640794097898,0.204819846537945,6.25918017438267,1.54890837511712,0.122874388723551,0.512632678098288,-4.8029581186992
Deinococcus-Thermus,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0268909910924569,-0.0812752605275976,0.135057242712511,6.12657263784167,0.490020861971131,0.624618766038724,0.878370139741956,-5.80357444286257
Verrucomicrobia,TreatmentGroupGrp1...TreatmentGroupGrp2,0.174196309325752,-0.13725371990716,0.485646338558664,5.99212903930571,1.10242769382763,0.271508232501243,0.588911851736187,-5.35026679314282
Chloroflexi,TreatmentGroupGrp1...TreatmentGroupGrp2,0.0557085009763263,-0.060214261953803,0.171631263906456,5.98037097304909,0.947223120027905,0.344588447776719,0.704840006816017,-5.4978928719788
